"STATION","NAME","DATE","HLY-CLDH-NORMAL","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-HTDH-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-11T18:00:00","-777.7","9.0","42.1","26.3","43.0","22.1","32.0","54.0","43.0","36.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-11T19:00:00","-777.7","9.0","42.1","26.4","42.1","23.0","32.0","53.1","42.1","35.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-11T20:00:00","-777.7","10.0","41.0","26.5","41.3","23.7","30.9","52.0","41.3","34.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-11T21:00:00","-777.7","9.0","41.0","26.4","40.6","24.4","30.2","51.1","40.6","33.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-11T22:00:00","-777.7","9.0","41.0","26.3","40.0","25.0","30.0","51.1","40.0","33.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-11T23:00:00","0.0","9.0","41.0","26.2","39.3","25.7","28.9","50.0","39.3","32.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T00:00:00","0.0","9.0","41.0","26.4","38.4","26.6","28.0","48.0","38.4","31.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T01:00:00","0.0","9.0","41.0","26.1","38.1","26.9","28.0","48.0","38.1","31.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T02:00:00","0.0","10.0","41.0","25.8","37.6","27.4","27.0","48.0","37.6","30.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T03:00:00","0.0","9.0","41.0","25.8","37.1","27.9","26.1","48.0","37.1","29.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T04:00:00","0.0","9.0","41.0","25.7","36.6","28.4","26.1","46.9","36.6","29.2"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T05:00:00","0.0","9.0","41.0","25.6","36.2","28.8","25.0","46.9","36.2","28.7"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T06:00:00","0.0","9.0","41.0","25.6","36.0","29.0","25.0","46.0","36.0","28.4"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T07:00:00","0.0","9.0","41.0","25.6","36.2","28.8","25.0","46.9","36.2","28.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T08:00:00","0.0","9.0","42.1","25.8","37.2","27.8","26.1","48.0","37.2","29.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T09:00:00","0.0","9.0","42.1","25.9","38.6","26.4","27.0","50.0","38.6","31.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T10:00:00","-777.7","9.0","43.0","25.9","40.2","24.9","28.0","52.0","40.2","33.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T11:00:00","0.1","10.0","43.0","26.0","41.7","23.4","28.9","54.0","41.7","35.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T12:00:00","0.1","9.0","43.0","26.0","43.0","22.1","30.9","55.9","43.0","36.8"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T13:00:00","0.1","9.0","43.0","26.0","44.2","20.9","32.0","57.9","44.2","38.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T14:00:00","0.2","8.1","43.0","26.0","45.0","20.2","33.1","59.0","45.0","39.3"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T15:00:00","0.2","9.0","43.0","26.2","45.3","19.9","33.1","59.0","45.3","39.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T16:00:00","0.2","10.0","43.0","26.3","45.2","19.9","33.1","57.9","45.2","39.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T17:00:00","0.1","9.0","43.0","26.5","44.5","20.6","32.0","57.0","44.5","38.6"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T18:00:00","-777.7","10.0","42.1","26.5","43.3","21.8","32.0","55.0","43.3","37.0"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T19:00:00","-777.7","10.0","42.1","26.7","42.4","22.6","32.0","53.1","42.4","35.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T20:00:00","-777.7","10.0","42.1","26.8","41.6","23.4","30.9","52.0","41.6","34.9"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T21:00:00","-777.7","10.0","41.0","26.7","40.9","24.1","30.9","52.0","40.9","34.1"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T22:00:00","-777.7","10.0","41.0","26.6","40.3","24.7","30.0","51.1","40.3","33.5"
"USW00014732","LA GUARDIA AIRPORT, NY US","03-12T23:00:00","0.0","9.0","41.0","26.5","39.7","25.3","28.9","51.1","39.7","32.8"
